Atom1_COD_type        Atom2_COD_type        Atom1_id       Atom2_ID   Bond_length       BondInRing
C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6](C[6,6]CCO)(C[6,6]CC)(OH)	C14	C9	C15	110.547
C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6](C[6,6]CCO)(C[6,6]CC)(OH)	C[6](C[6,6]CCO)(C[6]CC)(O)	C14	C15	C13	110.222
C[6](C[6,6]CCO)(C[6,6]CC)(OH)	C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	O(C[6]CC)(H)	C15	C14	O15	112.839
C[6](C[6,6]CCO)(C[6,6]CC)(OH)	C[6,6](C[6,6]CCH)(C[6]CO)2	O(C[6]CC)(H)	C15	C16	O15	123.246
C[6](C[6,6]CCO)(C[6,6]CC)(OH)	C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6,6](C[6,6]CCH)(C[6]CO)2	C15	C14	C16	123.909
C[6,6](C[6,6]CCH)(C[6]CO)2	C[6,6](C[6,6]CC)(C[6]CCO)(C[6]CHH)(H)	C[6](C[6,6]CCO)(C[6,6]CC)(OH)	C16	C7	C15	123.013
C[6,6](C[6,6]CCH)(C[6]CO)2	C[6,6](C[6,6]CC)(C[6]CCO)(C[6]CHH)(H)	C[6](C[6,6]CC)2(O)	C16	C7	C17	117.747
C[6,6](C[6,6]CCH)(C[6]CO)2	C[6](C[6,6]CCO)(C[6,6]CC)(OH)	C[6](C[6,6]CC)2(O)	C16	C15	C17	119.236
C[6](C[6,6]CC)2(O)	C[6,6](C[6,6]CCH)(C[6]CO)2	O(C[6]CC)	C17	C16	O17	120.795
C[6](C[6,6]CC)2(O)	C[6,6](C[6,6]CC)(C[6]CO)2	O(C[6]CC)	C17	C18	O17	120.177
C[6](C[6,6]CC)2(O)	C[6,6](C[6,6]CCH)(C[6]CO)2	C[6,6](C[6,6]CC)(C[6]CO)2	C17	C16	C18	118.995
C[6,6](C[6,6]CC)(C[6]CO)2	C[6,6](C[6,6]CC)(C[6]CCO)(C[6]CH)	C[6](C[6,6]CC)(C[6]CH)(OH)	C18	C5	C1	119.213
C[6,6](C[6,6]CC)(C[6]CO)2	C[6](C[6,6]CC)(C[6]CH)(OH)	C[6](C[6,6]CC)2(O)	C18	C1	C17	120.596
C[6,6](C[6,6]CC)(C[6]CO)2	C[6,6](C[6,6]CC)(C[6]CCO)(C[6]CH)	C[6](C[6,6]CC)2(O)	C18	C5	C17	120.184
C(C[6]CC)(NHH)(O)	N(CCO)(H)2	O(CCN)	C19	N19	O19	118.386
C(C[6]CC)(NHH)(O)	C[6](C[6]CO)2(CNO)	O(CCN)	C19	C12	O19	119.636
C(C[6]CC)(NHH)(O)	C[6](C[6]CO)2(CNO)	N(CCO)(H)2	C19	C12	N19	121.978
C(C[6]CCO)(H)3	C[6](C[6,6]CCH)(C[6,6]CC)(CH3)(OH)	H(CCHH)	C20	C6	H20A	107.226
C(C[6]CCO)(H)3	C[6](C[6,6]CCH)(C[6,6]CC)(CH3)(OH)	H(CCHH)	C20	C6	H20B	113.603
C(C[6]CCO)(H)3	C[6](C[6,6]CCH)(C[6,6]CC)(CH3)(OH)	H(CCHH)	C20	C6	H20C	110.729
C(C[6]CCO)(H)3	H(CCHH)	H(CCHH)	C20	H20B	H20A	108.017
C(C[6]CCO)(H)3	H(CCHH)	H(CCHH)	C20	H20C	H20A	99.4695
C(C[6]CCO)(H)3	H(CCHH)	H(CCHH)	C20	H20C	H20B	116.411
C(NCCH)(H)3	N(C[6]CCH)(CH3)2(H)	H(CHHN)	C21	N10	H21B	107.615
C(NCCH)(H)3	N(C[6]CCH)(CH3)2(H)	H(CHHN)	C21	N10	H21C	103.89
C(NCCH)(H)3	N(C[6]CCH)(CH3)2(H)	H(CHHN)	C21	N10	H21A	108.625
C(NCCH)(H)3	H(CHHN)	H(CHHN)	C21	H21C	H21B	101.02
C(NCCH)(H)3	H(CHHN)	H(CHHN)	C21	H21A	H21B	117.227
C(NCCH)(H)3	H(CHHN)	H(CHHN)	C21	H21A	H21C	117.3
C(NCCH)(H)3	N(C[6]CCH)(CH3)2(H)	H(CHHN)	C22	N10	H22A	109.212
